seed,c_regulates,c_interacts_with
0,0.6061334,0.855158
1,0.5971315,0.8364834
2,0.5996726,0.8449989
3,0.5996107,0.8431931
4,0.58824795,0.8280869
5,0.6052873,0.8414274
6,0.6019641,0.83641773
7,0.6074483,0.84251475
8,0.6109167,0.831682
9,0.60724306,0.8568769
