seed,c_regulates,c_interacts_with
0,0.5785803,0.8658088
1,0.56944007,0.8935596
2,0.5751977,0.87411636
3,0.5812097,0.8965112
4,0.58846563,0.8708006
5,0.5810029,0.86641926
6,0.5821587,0.86985373
7,0.57527614,0.8421865
8,0.58684164,0.9136133
9,0.5849091,0.9025101
