source,target,weight,resources,references,sign_decision
EBF1,PAX5,1.0,ExTRI,10435576;12477815;16464566,default activation
IRF4,IL1B,1.0,CytReg;ExTRI,10453013;11359842;12676954;16439360;18566416,PMID
IRF8,IL1B,1.0,CytReg;ExTRI;GEREDB;TRRUST,10453013;11359842;17386941;18566416,PMID
PAX5,BLK,1.0,ExTRI;Pavlidis2021;TRRUST,10455134;10553071;14594818;18697940;8195169;8759736;9660839,default activation
MYC,MYC,-1.0,ExTRI;HTRI;TFactS,10467407;10606235;10625678;10657901;10672043;10681589;10684947;10835425;10931834;10945639;11009078;11085504;11114727;11180404;11306700;11389443;11511535;11593411;11777933;11799123;11916966;12353235;12628347;12747840;12757710;12821782;12832487;12880944;1321271;14506152;14519204;14523011;14716294;15067010;15073177;15250723;15286719;15530864;15576399;15665468;15735755;15866886;15988031;16091746;16107691;16204065;16357214;1637556;16382048;16428936;16596619;16636146;16706751;16998799;17093053;17132729;17341548;17360752;17519021;17595061;17699159;1774959;17974960;17993259;17996313;18037408;18059365;18070418;18218627;18393360;18490439;18542060;18806825;18818322;1896473;18978814;18983830;18987311;19002957;19033198;1915867;19219071;19385599;19435876;19497851;19581307;19609274;19729955;19846662;2005901;20133699;20412594;20454512;20566697;20581311;20682043;21505052;21533051;21573608;21607323;2182320;2184192;21908617;21933022;22084162;22182413;22207128;22210745;22286234;22315222;22384171;22880082;22904298;23135913;2320412;23716601;23792448;23874874;24038073;24567369;25043018;2542967;2657574;2668846;2903801;3127392;3308495;3540591;3856253;6096815;7700652;7731690;7860774;7895500;7925100;8076602;8076603;8160706;8164678;8274141;8352803;8385351;8502472;8524267;8637719;8649389;8701093;9090124;9119229;9196053;9294616;9489489;9596659;9674700;9774645;9872993,PMID
KLF1,HBB,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST,10468560;10535918;10575545;10652365;10706605;10990462;11238130;11259590;11287616;12556498;14764531;15384985;15833715;16705186;19220418;19251649;20676097;21220744;21539536;21610079;7682653;7753194;7829533;8195185;8901569;8916973;8918890;8924208;9207479;9418858;9422764;9545245;9603943;9668528;9707565;9778250,PMID
NFATC2,XCL1,1.0,ExTRI;GEREDB,10477599,PMID
PAX3,FN1,1.0,ExTRI,10480898,default activation
MITF,PAX3,1.0,ExTRI,22290434,default activation
PAX3,MITF,1.0,ExTRI;TRRUST,10480898;10644012;10942418;10982026;11237412;11830592;19026785;19074888;19403660;20925909;21519923;21965087;22290434;9500554,PMID
PBX1,WNT16,1.0,ExTRI,10500199,regulon
JUN,MCF2,1.0,ExTRI,10523665,default activation
MEF2C,JUN,1.0,ExTRI;GOA;Pavlidis2021;SIGNOR;TRRUST,10523670;10849446;11158308;12054430;7760790;9069290;9252389,PMID
